Title,Artist,Type
Fields Of Gold,Eva Cassidy,Ballad!
Free Fallin',Tom Petty,Ballad!
Georgia On My Mind,Ray Charles,Ballad!
He Stopped Loving Her Today,George Jones,Ballad!
Hello,Lionel Richie,Ballad!
Hello,Adele,Ballad!
Hero,Mariah Carey,Ballad!
I Found A Boy,Adele,Ballad!
I Have Nothing,Whitney Houston,Ballad!
I Want To Know What Love Is,Foreigner,Ballad!
I'm Yours,Jason Mraz,Ballad!
Marry You,Bruno Mars,Ballad!
Memory,Barbra Streisand,Ballad!
My Heart Will Go On,Céline Dion,Ballad!
My Immortal,Evanescence,Ballad!
Only Time,Enya,Ballad!
Remember When,Alan Jackson,Ballad!
She Will Be Loved,Maroon 5,Ballad!
Starway To Haven,Led Zeppelin,Ballad!
Tears In Heaven,Eric Clapton,Ballad!
The Rose,Bette Midler,Ballad!
Unbreak My Heart,Toni Braxton,Ballad!
When You Say Nothing At All,Ronan Keating,Ballad!
Wish You Were Here,Pink Floyd,Ballad!
Wonderful Tonight,Eric Clapton,Ballad!
Yesterday,The Beatles,Ballad!
Yesterday,Eva Cassidy,Ballad!
You Raise Me Up,Josh Groban,Ballad!
(Everything I Do) I Do It For You,Bryan Adams,Ballad!
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Ballad!
A thousand miles,Vanessa Carlton,Ballad!
A Whole New World,Aladdin,Ballad!
All Of Me,John Legend,Ballad!
Anywhere Is,Enya,Ballad!
At Last,Etta James,Ballad!
Can You Feel The Love Tonight,Elton John,Ballad!
Can't Help Falling In Love,Elvis Presley,Ballad!
Cry Me A River,Michael Bublé,Ballad!
Cry To Me,Duffy,Ballad!
Don't Stop Believing,Journey,Ballad!
Fast Car,Tracy Chapman,Ballad!
Shallow,Lady Gaga and Bradley Cooper,Ballad!
Someone like you,Adele,Ballad!
Total Eclipse Of The Heart,Bonnie Tyler,Ballad!
Show Me the Meaning of Being Lonely,Backstreet Boys,Ballad!
Can't Fight The Moonlight,LeAnn Rimes,Ballad!
Shape of My Heart,Backstreet Boys,Ballad!
In Your Eyes,Kylie Minogue,Ballad!
Wherever You Will Go,The Calling,Ballad!
If Tomorrow Never Comes,Ronan Keating,Ballad!
I'm Not a Girl Not Yet a Woman,Britney Spears,Ballad!
Sorry Seems To Be The Hardest Word,Blue,Ballad!
Behind Blue Eyes,Limp Bizkit,Ballad!
Cry Me a River,Justin Timberlake,Ballad!
White Flag,Dido,Ballad!
I'm with You,Avril Lavigne,Ballad!
Everytime,Britney Spears,Ballad!
My Boo,Usher,Ballad!
Pieces Of Me,Ashlee Simpson,Ballad!
Let Me Love You,Mario,Ballad!
You're Beautiful,James Blunt,Ballad!
You Raise Me Up,Westlife,Ballad!
Stickwitu,The Pussycat Dolls,Ballad!
Unfaithful,Rihanna,Ballad!
Goodbye My Lover,James Blunt,Ballad!
Cupid's Chokehold / Breakfast in America - Radio Mix,Gym Class Heroes,Ballad!
Tonight (I'm Fuckin' You),Enrique Iglesias,Ballad!
What Makes You Beautiful,One Direction,Ballad!
Body Party,Ciara,Ballad!
Perfect,Ed Sheeran,Ballad!
Shallow,Lady Gaga Bradley Cooper,Ballad!
Just the Way You Are,Bruno Mars,Ballad!
Stairway to Heaven,Led Zeppelin,Ballad!
When Doves Cry,Prince,Ballad!
Both Sides Now,Joni Mitchell,Ballad!
Nothing Compares 2 U,Sinead O'Connor,Ballad!
Lean on Me,Bill Withers,Ballad!
How Deep Is Your Love,Bee Gees,Ballad!
Sweet Emotion,Aerosmith,Ballad!
Cant Help Falling in Love,Elvis Presley,Ballad!
I Don't Wanna Miss A Thing,Aerosmith,Ballad!
Complicated,Avril Lavigne,Ballad!
All By Myself,Celine Dion,Ballad!
My Heart Will Go On,Celine Dion,Ballad!
Can You Feel The Love Tonight?,Elton John,Ballad!
Your Song,Elton John,Ballad!
Hero,Enrique Iglesias,Ballad!
Imagine,Eva Cassidy,Ballad!
Over The Rainbow,Eva Cassidy,Ballad!
My Immortal,Evanesence,Ballad!
I Wanna Know What Love Is,Foreigner,Ballad!
Unbreak My Heart (Spanish),Il Divo,Ballad!
Imagine,John Lennon,Ballad!
Without You,Mariah Carey,Ballad!
Because Of You,Ne Yo,Ballad!
Miss Independent,Ne Yo,Ballad!
So Sick,Ne Yo,Ballad!
Hopelessly Devoted To You,Olivia Newton-John,Ballad!
Te Amo,Rihanna,Ballad!
Angels,Robbie Williams,Ballad!
With Or Without You,U2,Ballad!
Somewhere,West Side Story,Ballad!
I Look To You,Whitney Houston,Ballad!
I Will Always Love You,Whitney Houston,Ballad!
Forgot About Dre,Dr. Dre,Banger!
(Ghost) Riders in the Sky,Johnny Cash,Banger!
(Sittin' On) The Dock Of The Bay,Otis Redding,Banger!
(They Long To Be) Close To You,The Carpenters,Banger!
(You're The) Devil In Disguise,Elvis Presley,Banger!
9 To 5,Dolly Parton,Banger!
A Day In The Life,The Beatles,Banger!
ABBA,Waterloo,Banger!
ABC,The Jackson 5,Banger!
Africa,Toto,Banger!
Ain't No Sunshine,Bill Withers,Banger!
Ain't Nobody,Chaka Khan,Banger!
Ain't Nobody's Business,Billie Holiday,Banger!
Ain't That A Kick In The Head,Dean Martin,Banger!
All By Myself,Céline Dion,Banger!
All I Have To Do Is Dream,The Everly Brothers,Banger!
All I Want For Christmas Is You,Mariah Carey,Banger!
All My Loving,The Beatles,Banger!
All Night Long,Lionel Richie,Banger!
All That Jazz,Chicago (The Movie),Banger!
Alone,Heart,Banger!
Always on my mind,Elvis,Banger!
Always On My Mind,Willie Nelson,Banger!
American Pie,Don McLean,Banger!
American Trilogy,Elvis Presley,Banger!
Annie's Song,John Denver,Banger!
Another Day In Paradise,Phil Collins,Banger!
Autumn Leaves,Nat King Cole,Banger!
Baby Can I Hold You,Tracy Chapman,Banger!
Baby I Love You,Aretha Franklin,Banger!
Baby It's Cold Outside,Dean Martin,Banger!
Because Of You,Kelly Clarkson,Banger!
Blue Moon Of Kentucky,Elvis Presley,Banger!
Blue Suede Shoes,Elvis Presley,Banger!
Blueberry Hill,Fats Domino,Banger!
Brown Eyed Girl,Van Morrison,Banger!
Brown Girl In The Ring,Boney M.,Banger!
California Dreamin',The Mamas And The Papas,Banger!
Careless Whisper,George Michael,Banger!
Coal Miner's Daughter,Loretta Lynn,Banger!
Come Fly With Me,Frank Sinatra,Banger!
Crazy Little Thing Called Love,Queen,Banger!
Dance With My Father,Luther Vandross,Banger!
Dancing on the Ceiling,Lionel Richie,Banger!
Dancing Queen,Abba,Banger!
Desperado,The Eagles,Banger!
Do-Re-Mi,The Sound Of Music,Banger!
Don't Be Cruel,Elvis Presley,Banger!
Don't Go Breaking My Heart,Elton John,Banger!
Don't Know Why,Norah Jones,Banger!
Don't Stop Me Now,Queen,Banger!
Dream A Little Dream Of Me,The Mamas And The Papas,Banger!
Easy,The Commodores,Banger!
Escape (The Piña Colada Song),Rupert Holmes,Banger!
Eternal Flame,The Bangles,Banger!
Euphoria,Loreen,Banger!
Every Breath You Take,The Police,Banger!
Every Rose Has Its Thorn,Poison,Banger!
Father And Son,Cat Stevens,Banger!
Fever,Peggy Lee,Banger!
Fly Me To The Moon,Diana Krall,Banger!
Folsom Prison Blues,Johnny Cash,Banger!
Green Green Grass Of Home,Tom Jones,Banger!
Happy New Year,ABBA,Banger!
Heroes,David Bowie,Banger!
Hey Jude,The Beatles,Banger!
Hold The Line,Toto,Banger!
Honesty,Billy Joel,Banger!
House Of The Rising Sun,The Animals,Banger!
I Am A Man Of Constant Sorrow,Soggy Bottom Boys,Banger!
I Don't Want To Miss A Thing,Aerosmith,Banger!
I Heard It Through The Grapevine,Marvin Gaye,Banger!
I Just Called To Say I Love You,Stevie Wonder,Banger!
I Saw Her Standing There,The Beatles,Banger!
I Walk the Line,Johnny Cash,Banger!
I Want You (She's So Heavy),The Beatles,Banger!
I Will Survive,Gloria Gaynor,Banger!
I've Got You Under My Skin,Frank Sinatra,Banger!
If I Could Turn Back Time,Cher,Banger!
In The Ghetto,Elvis Presley,Banger!
Islands in the Stream,Dolly Parton,Banger!
It's Not Unusual,Tom Jones,Banger!
Jackson,Johnny Cash,Banger!
Jingle Bell Rock,Bobby Helms,Banger!
Jolene,Dolly Parton,Banger!
La camisa negra,Juanes,Banger!
La vie en rose,Edith Piaf,Banger!
Last Christmas,Wham!,Banger!
Lemon Tree,Fool's Garden,Banger!
Let It Be,The Beatles,Banger!
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,Banger!
Like a Prayer,Madonna,Banger!
Like A Virgin,Madonna,Banger!
Livin' On A Prayer,Bon Jovi,Banger!
Love Story,Taylor Swift,Banger!
Mack The Knife,Bobby Darin,Banger!
Mamma Mia,ABBA,Banger!
Message In A Bottle,The Police,Banger!
Mustang Sally,Wilson Pickett,Banger!
My way,Frank Sinatra,Banger!
New York New York,Frank Sinatra,Banger!
No Woman No Cry,Bob Marley,Banger!
Non je ne regrette rien,Edith Piaf,Banger!
On The Street Where You Live,My Fair Lady,Banger!
Ordinary World,Duran Duran,Banger!
Penny Lane,The Beatles,Banger!
Piano Man,Billy Joel,Banger!
Piece Of My Heart,Janis Joplin,Banger!
Rapper's Delight,Sugarhill Gang,Banger!
Redemption Song,Bob Marley,Banger!
Rehab,Amy Winehouse,Banger!
Respect,Aretha Franklin,Banger!
Rivers of Babylon,Boney M.,Banger!
Roxanne,The Police,Banger!
September,Earth Wind & Fire,Banger!
Sexual Healing,Marvin Gaye,Banger!
Somethin' Stupid,Robbie Williams,Banger!
Son Of A Preacher Man,Dusty Springfield,Banger!
Space Oddity,David Bowie,Banger!
Stand By Me,Ben E. King,Banger!
Stand By Your Man,Tammy Wynette,Banger!
Starman,David Bowie,Banger!
Stayin' Alive,Bee Gees,Banger!
Strawberry Fields Forever,The Beatles,Banger!
Stuck In The Middle With You,Stealers Wheel,Banger!
Suspicious Minds,Elvis,Banger!
Suspicious Minds,Elvis Presley,Banger!
