Title,Artist,Type
22,Taylor Swift,Banger!
1999,Prince,Happy!
...Baby One More Time,Britney Spears,Happy!
(Dont Fear) the Reaper,Blue Öyster Cult,Banger!
(Everything I Do) I Do It For You,Bryan Adams,Ballad!
(Ghost) Riders in the Sky,Johnny Cash,Banger!
(Ghost) Riders in the Sky,Vaughn Monroe,Banger!
(I Can't Get No) Satisfaction,The Rolling Stones,Happy!
(I Can't Get No) Satisfaction',The Rolling Stones,Rock!
(I Just) Died in Your Arms Tonight,Cutting Crew,Soulful!
(I Left My Heart in) San Francisco,Tony Bennett,Soulful!
(I'll Never Be) Maria Magdalena,Sandra,Banger!
(I've Had) The Time Of My Life,Dirty Dancing,Happy!
(Just Like) Starting Over,John Lennon,Ballad!
(Let Me Be Your) Teddy Bear,Elvis Presley,Banger!
(Now & then There's) A Fool Such As I,Elvis Presley,Soulful!
(Sexual) Healing,Marvin Gaye,Soulful!
(Shake Shake Shake) Shake Your Booty,KC & The Sunshine Band,Banger!
(Sittin' On) The Dock Of The Bay,Otis Redding,Banger!
(There'll Be Bluebirds Over) the White Cliffs of Dover,Vera Lynn,Ballad!
(They Long To Be) Close To You,The Carpenters,Banger!
(Un Dos Tres) Maria,Ricky Martin,Banger!
(What A) Wonderful World,Louis Armstrong,Soulful!
(You Drive Me) Crazy,Britney Spears,Banger!
(You Gotta) Fight For Your Right (To Party!),The Beastie Boys,Rock!
(You Keep Me) Hangin' On,Kim Wilde,Banger!
(You Make Me Feel Like) a Natural Woman,Aretha Franklin,Happy!
(You're The) Devil In Disguise,Elvis Presley,Banger!
1 Thing,Amerie,Happy!
1-2 Step,Ciara & Missy 'Misdemeanor' Elliot,Happy!
10 Years,Daði Freyr,Happy!
19-2000,Gorillaz,Banger!
2 Become 1,Spice Girls,Banger!
22 (Twenty Two),Taylor Swift,Banger!
24K Magic,Bruno Mars,Banger!
4 Non Blondes,What's Up,Happy!
50 Ways to Leave Your Lover,Paul Simon,Soulful!
500 Miles (I'm Gonna Be),Proclaimers,Rock!
7 Days,Craig David,Banger!
9 To 5,Dolly Parton,Happy!
99 Red Balloons,Nena,Banger!
A Bar Song (Tipsy),Shaboozey,Banger!
A Boy Named Sue,Johnny Cash,Banger!
A Change Is Gonna Come,Sam Cooke,Soulful!
A Day In The Life,The Beatles,Banger!
A Hard Day's Night,The Beatles,Happy!
A Little Less Conversation,Elvis Presley & JXL,Banger!
A Little Less Conversation - JXL Radio Edit Remix,Elvis Presley,Banger!
A Sky Full of Stars,Coldplay,Soulful!
A Thousand Miles,Vanessa Carlton,Soulful!
A Thousand Years,Christina Perri,Happy!
A View to a Kill,Duran Duran,Banger!
A Whiter Shade of Pale,Procol Harum,Soulful!
A Whole New World,Aladdin,Duet!
A Whole New World (Aladdin's Theme),Regina Belle & Peabo Bryson,Duet!
ABBA,Waterloo,Banger!
ABC,The Jackson 5,Banger!
About You Now,Sugababes,Soulful!
Acceptable in the 80's,Calvin Harris,Banger!
Ace Of Spades,Motorhead,Rock!
Achy Breaky Heart,Billy Ray Cyrus,Banger!
Adagio (English Version),Lara Fabian,Soulful!
Adore You,Harry Styles,Soulful!
Africa,Toto,Banger!
Against All Odds (Take a Look At Me Now),Phil Collins,Soulful!
Against All Odds (Take A Look at Me Now) (feat. Westlife),Mariah Carey,Duet!
Ai Se Eu Te Pego - Live,Michel Teló,Banger!
Aicha,Outlandish,Soulful!
Ain't It Funny,Jennifer Lopez,Soulful!
Ain't No Mountain High Enough,Marvin Gaye and Tami Terrell,Happy!
Ain't No Other Man,Christina Aguilera,Happy!
Ain't No Sunshine,Bill Withers,Soulful!
Ain't Nobody,Chaka Khan,Banger!
Ain't Nobody's Business,Billie Holiday,Banger!
Ain't That A Kick In The Head,Dean Martin,Banger!
Ain't Too Proud to Beg,The Temptations,Happy!
Aint No Sunshine,Bill Withers,Soulful!
Airplanes,BoB & Hayley Williams,Duet!
Airplanes (feat. Hayley Williams of Paramore),B.o.B,Duet!
Alejandro,Lady Gaga,Banger!
All About That Bass,Meghan Trainor,Happy!
All Along the Watchtower,The Jimi Hendrix Experience,Rock!
All By Myself,Céline Dion,Banger!
All For Love,Bryan Adams Rod Stewart & Sting,Duet!
All For You,Janet Jackson,Happy!
All I Have To Do Is Dream,The Everly Brothers,Banger!
All I Have to Give,The Backstreet Boys,Ballad!
All I Wanna Do,Sheryl Crow,Soulful!
All I Wanna Do is Make Love to You,Heart,Ballad!
All I Want For Christmas Is You,Mariah Carey,Banger!
All My Life,Foo Fighters,Rock!
All My Loving,The Beatles,Happy!
All Night Long,Lionel Richie,Happy!
All Night Long (All Night),Lionel Richie,Happy!
All of Me,Louis Armstrong,Soulful!
All Of The Lights,Kanye West,Happy!
All Rise,Blue,Soulful!
All Shook Up,Elvis Presley,Happy!
All Star,Smash Mouth,Happy!
All That Jazz,Chicago (The Movie),Banger!
All the Man That I Need,Whitney Houston,Soulful!
All The Small Things,Blink 182,Rock!
All The Stars (with SZA),Kendrick Lamar,Duet!
All The Things She Said,t.A.T.u.,Banger!
All You Need is Love,The Beatles,Happy!
Alone,Heart,Soulful!
Alors on danse - Radio Edit,Stromae,Happy!
Always Be My Baby,Mariah Carey,Soulful!
Always Look On The Bright Side Of Life,Monty Python,Happy!
Always on my mind,Elvis,Banger!
Always On My Mind,Willie Nelson,Soulful!
Always On Time,Ja Rule & Ashanti,Duet!
Am I Wrong,Nico & Vinz,Banger!
AM To PM,Christina Milian,Banger!
Amazing,George Michael,Soulful!
American Idiot,Green Day,Rock!
American Pie,Don McLean,Soulful!
American Pie,Madonna,Soulful!
American Trilogy,Elvis Presley,Banger!
Anaconda,Nicki Minaj,Banger!
Anarchy in the U.K.,The Sex Pistols,Rock!
Anarchy In The UK,Sex Pistols,Rock!
And the Beat Goes On,Sonny & Cher,Duet!
Angel,Shaggy,Happy!
Angel,Aerosmith,Soulful!
Angels,Robbie Williams,Ballad!
Annie's Song,John Denver,Banger!
Another Brick in the Wall (part 2),Pink Floyd,Rock!
Another Brick In The Wall Part 2,Pink Floyd,Rock!
Another Day In Paradise,Phil Collins,Soulful!
Another One Bites the Dust,Queen,Rock!
Another One Bites The Dust - Remastered 2011,Queen,Rock!
Any Time Any Place,Janet Jackson,Soulful!
Anywhere Is,Enya,Ballad!
Apologize,Timbaland & OneRepublic,Banger!
Are You Lonesome Tonight?,Elvis Presley,Soulful!
Around the World,Daft Punk,Banger!
As Good As I Once Was,Toby Keith,Soulful!
As It Was,Harry Styles,Happy!
As Long As You Love Me,The Backstreet Boys,Ballad!
At Last,Etta James,Soulful!
Atomic,Blondie,Banger!
Autobahn,Kraftwerk,Soulful!
Autumn Leaves,Nat King Cole,Banger!
Autumn Leaves (Les Feuilles Mortes),Roger Williams,Soulful!
Ave Maria,Beyonce,Soulful!
Baby,Justin Bieber & Ludacris,Duet!
Baby Boy,Beyonce,Banger!
Baby Boy (feat. Sean Paul),Beyoncé,Duet!
Baby Can I Hold You,Tracy Chapman,Banger!
Baby Got Back,Sir Mix-a-Lot,Happy!
Baby Got Back [Explicit],Sir Mix A Lot,Banger!
Baby I Love You,Aretha Franklin,Banger!
Baby It's Cold Outside,Dean Martin,Banger!
Baby One More Time,Britney Spears,Banger!
Back In Black,AC/DC,Rock!
Back To Black,Amy Winehouse,Happy!
Bad,Michael Jackson,Banger!
Bad Blood,Taylor Swift & Kendrick Lamar,Duet!
Bad Day,Daniel Powter,Soulful!
Bad Girls,Donna Summer,Banger!
Bad Girls,M.I.A,Banger!
bad guy,Billie Eilish,Banger!
Bad Habits,Ed Sheeran,Soulful!
Bad Medicine,Bon Jovi,Rock!
Bad Moon Rising,Creedence Clearwater Revival,Rock!
Bad Romance,Lady Gaga,Banger!
Bad Touch,Bloodhound Gang,Banger!
Bag Lady,Erykah Badu,Soulful!
Bailamos,Enrique Iglesias,Happy!
Bailando - Spanish Version,Enrique Iglesias,Happy!
Ballad of Davy Crockett,Bill Hayes,Banger!
Banana Boat Song,Harry Belafonte,Happy!
Bang Bang,Jessie J & Ariana Grande & Nicki Minaj,Duet!
Bangarang (feat. Sirah),Skrillex,Banger!
Barbie Girl,Aqua,Happy!
Barbra Streisand,Duck Sauce,Banger!
Barbra Streisand - Radio Edit,Duck Sauce,Banger!
Barracuda,Heart,Banger!
Basket Case,Green Day,Rock!
Be Faithful,Fatman Scoop,Happy!
Be My Lover,La Bouche,Happy!
Be The One,Dua Lipa,Happy!
Be With You,Enrique Iglesias,Soulful!
Be Without You,Mary J Blige,Soulful!
Beat It,Michael Jackson,Banger!
Beautiful,Christina Aguilera,Soulful!
Beautiful Day,U2,Rock!
Beautiful Girls,Sean Kingston,Happy!
Beautiful Liar,Beyonce & Shakira,Duet!
Beauty & the Beast,Celine Dion & Peabo Bryson,Duet!
Beauty & The Beast (Duet),Celine Dion,Duet!
Because I Got High,Afroman,Banger!
Because Of You,Kelly Clarkson,Soulful!
Because Of You,Ne-Yo,Soulful!
Because of You,Tony Bennett,Soulful!
Bed Of Roses,Bon Jovi,Soulful!
Beep,The Pussycat Dolls & Will.I.Am,Duet!
Before He Cheats,Carrie Underwood,Soulful!
Beggin (original version),Madcon,Happy!
Beggin',Madcon,Banger!
Beggin',Måneskin,Rock!
Behind Blue Eyes,Limp Bizkit,Soulful!
Belfast,Boney M,Banger!
Believe,Cher,Banger!
Best of You,Foo Fighters,Rock!
Better in Time,Leona Lewis,Soulful!
Better Off Alone,Alice Deejay,Banger!
Better Off Alone,DJ Jurgen & Alice DeeJay,Happy!
Bicycle Race,Queen,Rock!
Big City Life,Mattafix,Soulful!
Big Girls Don't Cry,Fergie,Soulful!
Big Girls Don't Cry (Personal),Fergie,Soulful!
Big in Japan,Alphaville,Banger!
Big Pimpin',JAY-Z,Banger!
Big Poppa,Notorious BIG,Banger!
Billie Jean,Michael Jackson,Banger!
BIRDS OF A FEATHER,Billie Eilish,
Bit__ Better Have My Money,Rihanna,Banger!
Bitch Better Have My Money,Rihanna,Banger!
Bitter Sweet Symphony,The Verve,Soulful!
Bitter Sweet Symphony,Verve,Soulful!
BITTERSUITE,Billie Eilish,Soulful!
Black Betty,Ram Jam,Rock!
Black Dog,Led Zeppelin,Rock!
Black Hole Sun,Soundgarden,Soulful!
Black Magic,Little Mix,Banger!
Black Magic Woman,Santana,Soulful!
Black Or White,Michael Jackson,Banger!
Blame It On The Boogie,Jackson 5,Banger!
Blaze of Glory,Bon Jovi,Rock!
Blinded By the Light,Manfred Mann's Earth Band,Happy!
Blinding Lights,The Weeknd,Soulful!
Blitzkrieg Bop,Ramones,Rock!
Blowin' in the Wind,Bob Dylan,Soulful!
Blown Away,Carrie Underwood,Banger!
Blue Moon Of Kentucky,Elvis Presley,Banger!
Blue Moon of Kentucky,Bill Monroe,Soulful!
Blue Suede Shoes,Carl Perkins,Banger!
Blue Suede Shoes,Elvis Presley,Banger!
Blueberry Hill,Fats Domino,Banger!
Blurred Lines,Robin Thicke T.I. & Pharrell Williams,Banger!
Body Party,Ciara,Ballad!
Bohemian Rhapsody,Queen,Rock!
Bohemian Rhapsody - Remastered 2011,Queen,Rock!
Boogie Nights,Heatwave,Happy!
Boogie Wonderland,Earth Wind & Fire,Happy!
Boom Boom,John Lee Hooker,Soulful!
Boom Boom Boom Boom,Vengaboys,Banger!
Boom Boom Boom Boom,The Vengaboys,Happy!
Boombastic,Shaggy,Happy!
Bootylicious,Destiny's Child,Banger!
Born in the U.S.A.,Bruce Springsteen,Rock!
Born in the USA,Bruce Springsteen,Rock!
Born This Way,Lady Gaga,Banger!
Born To Be Wild,Steppenwolf,Rock!
Born To Die,Lana Del Rey,Soulful!
Born to Make You Happy,Britney Spears,Soulful!
Born to Run,Bruce Springsteen,Rock!
Bossy,Kelis,Banger!
Botella Tras Botella,Gera MX Christian Nodal,Banger!
Both Sides Now,Joni Mitchell,Ballad!
Boulevard of Broken Dreams,Green Day,Rock!
Boys (Summertime Love),Sabrina,Happy!
Break Free,Ariana Grande,Soulful!
Break Up,Mario,Soulful!
Breakaway,Kelly Clarkson,Banger!
Breathe,The Prodigy,Banger!
Breathe,Faith Hill,Rock!
Breathe,Blu Cantrell,Soulful!
Bridge Over Troubled Water,Simon and Garfunkel,Soulful!
Bring Him Home,Les Miserables,Soulful!
Bring it All Back,S Club 7,Banger!
Bring Me To Life,Evanesence,Rock!
Brown Eyed Girl,Van Morrison,Happy!
Brown Girl In The Ring,Boney M,Happy!
Brown Sugar,The Rolling Stones,Rock!
Brown-Eyed Girl,Van Morrison,Banger!
Bubbly,Colbie Caillat,Happy!
Buddy Holly,Weezer,Rock!
Buffalo Soldier,Bob Marley & The Wailers,Banger!
Bulletproof!,La Roux,Banger!
Burn,Ellie Goulding,Banger!
Burn,Usher,Banger!
Burning Down the House,Talking Heads,Happy!
Burning Heart,Survivor,Rock!
Burning Love,Elvis Presley,Soulful!
Butterfly,Crazy Town,Banger!
Buttons,The Pussycat Dolls,Happy!
